DATAFLOW,SPECIFICATION: Spécification,FREQ: Fréquence,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-01,1.78730750178431,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-02,1.79562929483916,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-03,1.42718058782803,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-04,1.80217790605384,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-05,1.632511673945,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-06,1.64395346408659,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-07,1.73203242968478,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-08,1.37608887222358,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-09,1.62406825803292,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-10,1.62107570190539,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-11,1.4123545990895,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2020-12,1.39302740143232,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-01,2.52660104756159,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-02,-0.0629239030141782,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-03,1.5095924226586,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-04,1.02484311027153,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-05,1.24047339446398,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-06,1.12465665467731,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-07,1.21253370188399,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-08,1.32013113842824,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-09,1.36687142448866,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-10,1.75487297312058,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-11,2.24808580945026,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2021-12,2.34254762050368,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-01,1.39669760869845,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-02,4.24250084572289,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-03,3.49485666856348,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-04,4.23491740442903,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-05,4.50079300759889,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-06,4.78770252212151,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
